name	phase	seconds	blocks	cockpitHP	unpowered	position	speed	enemies
CODEX_02_Manta	flight	0.10	825	500	0	(-2.50, -0.54, 10.50)	0.89	1
CODEX_02_Manta	flight	1.00	825	500	0	(-2.50, -1.10, 10.50)	0.02	1
CODEX_02_Manta	flight	2.01	825	500	0	(-2.50, 0.63, 10.50)	4.24	1
CODEX_02_Manta	flight	3.02	825	500	0	(-2.50, 6.58, 10.49)	6.82	1
CODEX_02_Manta	flight	4.02	825	500	0	(-2.50, 13.08, 10.47)	5.80	1
CODEX_02_Manta	flight	5.03	825	500	0	(-2.50, 17.58, 10.72)	3.05	2
CODEX_02_Manta	flight	6.00	825	500	0	(-2.50, 19.08, 12.21)	2.47	2
CODEX_02_Manta	flight	7.01	825	500	0	(-2.50, 18.29, 15.63)	4.45	2
CODEX_02_Manta	flight	8.02	825	500	0	(-2.50, 16.38, 20.43)	5.69	2
CODEX_02_Manta	flight	9.00	825	500	0	(-3.56, 14.55, 25.12)	4.77	2
CODEX_02_Manta	flight	10.00	825	500	0	(-6.67, 13.27, 28.30)	4.71	2
CODEX_02_Manta	flight	11.01	825	500	0	(-11.17, 12.94, 30.39)	5.23	3
CODEX_02_Manta	flight	12.02	825	500	0	(-16.60, 13.32, 31.72)	5.82	3
CODEX_02_Manta	flight	13.01	825	500	0	(-21.59, 13.96, 31.44)	4.50	3
CODEX_02_Manta	flight	14.02	825	500	0	(-24.98, 14.37, 28.63)	4.58	3
CODEX_02_Manta	flight	15.00	825	500	0	(-27.10, 13.15, 24.40)	5.31	3
CODEX_02_Manta	flight	16.03	825	500	0	(-28.52, 12.71, 18.82)	5.93	4
CODEX_02_Manta	flight	17.00	825	500	0	(-28.31, 13.07, 13.75)	4.60	4
CODEX_02_Manta	flight	18.00	825	500	0	(-25.73, 13.80, 10.27)	4.51	4
CODEX_02_Manta	flight	19.01	825	500	0	(-21.56, 14.46, 8.00)	5.04	4
CODEX_02_Manta	flight	20.01	825	500	0	(-16.44, 13.28, 6.58)	5.79	4
CODEX_02_Manta	flight	21.03	825	500	0	(-10.76, 12.50, 5.69)	5.38	5
CODEX_02_Manta	flight	22.03	825	500	0	(-6.04, 12.78, 5.17)	4.05	5
CODEX_02_Manta	flight	23.00	825	500	0	(-2.88, 13.56, 4.86)	2.77	5
CODEX_02_Manta	flight	24.04	825	500	0	(-0.70, 14.40, 4.65)	1.78	5
CODEX_02_Manta	completed	24.04
CODEX_03_Catamaran	flight	0.10	1081	500	0	(-2.50, -0.54, 10.50)	0.90	1
CODEX_03_Catamaran	flight	1.01	1081	500	0	(-2.50, -1.09, 10.50)	0.00	1
CODEX_03_Catamaran	flight	2.02	1081	500	0	(-2.50, -0.33, 10.50)	2.65	1
CODEX_03_Catamaran	flight	3.00	1081	500	0	(-2.50, 4.41, 10.50)	6.39	1
CODEX_03_Catamaran	flight	4.02	1081	500	0	(-2.50, 11.21, 10.49)	6.34	1
CODEX_03_Catamaran	flight	5.01	1081	500	0	(-2.50, 16.42, 10.68)	4.01	2
CODEX_03_Catamaran	flight	6.00	1081	500	0	(-2.50, 18.86, 11.85)	2.18	2
CODEX_03_Catamaran	flight	7.01	1081	500	0	(-2.50, 18.72, 14.51)	3.44	2
CODEX_03_Catamaran	flight	8.03	1081	500	0	(-2.50, 16.99, 18.33)	4.60	2
CODEX_03_Catamaran	flight	9.02	1081	500	0	(-3.35, 15.06, 21.97)	3.94	2
CODEX_03_Catamaran	flight	10.02	1081	500	0	(-5.86, 13.58, 24.45)	3.85	3
CODEX_03_Catamaran	flight	11.00	1081	500	0	(-9.37, 12.99, 26.03)	4.18	3
CODEX_03_Catamaran	flight	12.01	1081	500	0	(-13.72, 13.18, 27.08)	4.67	3
CODEX_03_Catamaran	flight	13.03	1081	500	0	(-17.84, 13.80, 26.83)	3.59	3
CODEX_03_Catamaran	flight	14.04	1081	500	0	(-20.49, 14.41, 24.65)	3.61	3
CODEX_03_Catamaran	flight	15.01	1081	500	0	(-22.18, 13.61, 21.35)	4.35	3
CODEX_03_Catamaran	flight	16.02	1081	500	0	(-23.29, 12.64, 17.13)	4.60	4
CODEX_03_Catamaran	flight	17.03	1081	500	0	(-23.09, 12.75, 13.10)	3.53	4
CODEX_03_Catamaran	flight	18.04	1081	500	0	(-20.92, 13.47, 10.44)	3.63	4
CODEX_03_Catamaran	flight	19.01	1081	500	0	(-17.68, 14.25, 8.78)	4.10	4
CODEX_03_Catamaran	flight	20.03	1081	500	0	(-13.48, 14.08, 7.67)	4.85	4
CODEX_03_Catamaran	flight	21.02	1081	500	0	(-9.02, 12.38, 7.00)	4.46	5
CODEX_03_Catamaran	flight	22.04	1081	500	0	(-5.11, 12.07, 6.59)	3.26	5
CODEX_03_Catamaran	flight	23.01	1081	500	0	(-2.56, 12.75, 6.36)	2.38	5
CODEX_03_Catamaran	flight	24.05	1081	500	0	(-0.74, 13.86, 6.20)	1.73	5
CODEX_03_Catamaran	completed	24.05
CODEX_04_Crossguard	flight	0.10	981	500	0	(-2.50, -0.55, 10.50)	0.91	1
CODEX_04_Crossguard	flight	1.02	981	500	0	(-2.50, -1.08, 10.50)	0.00	1
CODEX_04_Crossguard	flight	2.03	981	500	0	(-2.50, -0.46, 10.50)	2.27	1
CODEX_04_Crossguard	flight	3.00	981	500	0	(-2.50, 3.67, 10.50)	5.90	1
CODEX_04_Crossguard	flight	4.02	981	500	0	(-2.50, 10.25, 10.49)	6.43	1
CODEX_04_Crossguard	flight	5.02	981	500	0	(-2.50, 15.76, 10.70)	4.35	2
CODEX_04_Crossguard	flight	6.02	981	500	0	(-2.50, 18.60, 12.05)	2.58	2
CODEX_04_Crossguard	flight	7.03	981	500	0	(-2.50, 18.78, 15.02)	3.72	2
CODEX_04_Crossguard	flight	8.03	981	500	0	(-2.50, 17.27, 19.16)	4.96	2
CODEX_04_Crossguard	flight	9.01	981	500	0	(-3.44, 15.36, 23.17)	4.31	2
CODEX_04_Crossguard	flight	10.02	981	500	0	(-6.28, 13.78, 25.94)	4.29	3
CODEX_04_Crossguard	flight	11.02	981	500	0	(-10.27, 13.03, 27.70)	4.68	3
CODEX_04_Crossguard	flight	12.00	981	500	0	(-15.00, 13.12, 28.82)	5.19	3
CODEX_04_Crossguard	flight	13.00	981	500	0	(-19.51, 13.68, 28.54)	4.00	3
CODEX_04_Crossguard	flight	14.02	981	500	0	(-22.52, 14.32, 26.08)	4.01	3
CODEX_04_Crossguard	flight	15.02	981	500	0	(-24.41, 13.93, 22.34)	4.78	3
CODEX_04_Crossguard	flight	16.03	981	500	0	(-25.64, 12.76, 17.62)	5.11	4
CODEX_04_Crossguard	flight	17.00	981	500	0	(-25.46, 12.69, 13.29)	3.93	4
CODEX_04_Crossguard	flight	18.03	981	500	0	(-23.04, 13.33, 10.24)	4.02	4
CODEX_04_Crossguard	flight	19.02	981	500	0	(-19.35, 14.13, 8.35)	4.57	4
CODEX_04_Crossguard	flight	20.00	981	500	0	(-14.81, 14.38, 7.14)	5.14	4
CODEX_04_Crossguard	flight	21.00	981	500	0	(-9.85, 12.65, 6.39)	5.01	5
CODEX_04_Crossguard	flight	22.01	981	500	0	(-5.58, 12.06, 5.93)	3.62	5
CODEX_04_Crossguard	flight	23.03	981	500	0	(-2.61, 12.63, 5.65)	2.50	5
CODEX_04_Crossguard	flight	24.02	981	500	0	(-0.74, 13.66, 5.49)	1.85	5
CODEX_04_Crossguard	completed	24.02
CODEX_05_Lance	flight	0.10	1017	500	0	(-2.50, -0.55, 10.50)	0.90	1
CODEX_05_Lance	flight	1.03	1017	500	0	(-2.50, -1.09, 10.50)	0.00	1
CODEX_05_Lance	flight	2.02	1017	500	0	(-2.50, -0.07, 10.50)	3.11	1
CODEX_05_Lance	flight	3.02	1017	500	0	(-2.50, 5.18, 10.50)	6.61	1
CODEX_05_Lance	flight	4.00	1017	500	0	(-2.50, 11.70, 10.49)	6.25	1
CODEX_05_Lance	flight	5.02	1017	500	0	(-2.50, 16.85, 10.72)	3.66	2
CODEX_05_Lance	flight	6.03	1017	500	0	(-2.50, 18.99, 12.05)	2.22	2
CODEX_05_Lance	flight	7.01	1017	500	0	(-2.50, 18.61, 14.80)	3.67	2
CODEX_05_Lance	flight	8.00	1017	500	0	(-2.50, 16.86, 18.67)	4.76	2
CODEX_05_Lance	flight	9.01	1017	500	0	(-3.47, 14.90, 22.52)	4.08	2
CODEX_05_Lance	flight	10.03	1017	500	0	(-6.34, 13.45, 25.11)	4.16	3
CODEX_05_Lance	flight	11.01	1017	500	0	(-10.27, 12.96, 26.73)	4.64	3
CODEX_05_Lance	flight	12.01	1017	500	0	(-15.04, 13.21, 27.78)	5.19	3
CODEX_05_Lance	flight	13.04	1017	500	0	(-19.70, 13.86, 27.48)	3.98	3
CODEX_05_Lance	flight	14.01	1017	500	0	(-22.58, 14.43, 25.28)	3.83	3
CODEX_05_Lance	flight	15.01	1017	500	0	(-24.52, 13.45, 21.76)	4.50	3
CODEX_05_Lance	flight	16.03	1017	500	0	(-25.76, 12.62, 17.33)	4.78	4
CODEX_05_Lance	flight	17.02	1017	500	0	(-25.57, 12.82, 13.19)	3.70	4
CODEX_05_Lance	flight	18.00	1017	500	0	(-23.30, 13.53, 10.49)	3.90	4
CODEX_05_Lance	flight	19.00	1017	500	0	(-19.63, 14.31, 8.70)	4.49	4
CODEX_05_Lance	flight	20.01	1017	500	0	(-15.00, 13.83, 7.53)	5.32	4
CODEX_05_Lance	flight	21.03	1017	500	0	(-10.00, 12.32, 6.83)	4.84	5
CODEX_05_Lance	flight	22.05	1017	500	0	(-5.72, 12.23, 6.40)	3.56	5
CODEX_05_Lance	flight	23.01	1017	500	0	(-2.95, 12.98, 6.16)	2.54	5
CODEX_05_Lance	flight	24.03	1017	500	0	(-1.03, 14.02, 6.01)	1.78	5
CODEX_05_Lance	completed	24.03
